,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_2p,NBA_2pa,NBA_2pp,NBA_3p,NBA_3pa,NBA_3pp,NBA_ast,NBA_blk,NBA_drb,NBA_fg,NBA_fga,NBA_fgp,NBA_ft,NBA_fta,NBA_ftp,NBA_g,NBA_mp,NBA_orb,NBA_pts,NBA_stl,NBA_tov,NBA_trb,NCAA_2p,NCAA_2pa,NCAA_2pp,NCAA_3p,NCAA_3pa,NCAA_3pp,NCAA_ast,NCAA_blk,NCAA_drb,NCAA_fg,NCAA_fga,NCAA_fgp,NCAA_ft,NCAA_fta,NCAA_ftp,NCAA_g,NCAA_mp,NCAA_orb,NCAA_pts,NCAA_stl,NCAA_tov,NCAA_trb
1185,/players/e/earleed01.html,Ed Earle,1954,1954,F,Loyola Chicago,6-3,190,"April 28, 1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,/players/e/earlycl01.html,Cleanthony Early,2015,2016,F,Wichita State,6-8,210,"April 17, 1991",0.5,1.5,.320,0.2,0.9,.267,0.4,0.2,1.3,0.7,2.4,.300,0.2,0.2,.750,17,9.1,0.2,1.8,0.1,0.5,1.5,3.4,6.2,.555,1.5,4.3,.348,0.7,0.8,3.8,4.9,10.5,.470,3.7,4.6,.819,75,26.2,1.8,15.1,0.8,1.7,5.7
1187,/players/e/earlype01.html,Penny Early,1969,1969,G,,5-3,114,"May 30, 1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,/players/e/eatonma01.html,Mark Eaton,1983,1993,C,UCLA,7-4,275,"January 24, 1957",2.4,5.1,.467,0.0,0.0,.000,1.4,<strong>4.3</strong>,5.5,2.4,5.1,.466,0.9,1.5,.593,<strong>82</strong>,26.1,1.8,5.6,0.3,1.2,7.3,,,,,,,,,,0.7,1.6,.449,0.3,0.7,.409,30,6.5,,1.8,,,
1189,/players/e/eavesje01.html,Jerry Eaves,1983,1987,G,Louisville,6-4,180,"February 8, 1959",1.7,3.6,.460,0.0,0.1,.000,2.5,0.1,0.7,1.7,3.7,.451,1.2,1.7,.697,80,12.9,0.4,4.5,0.4,1.2,1.1,,,,,,,,,,3.6,7.0,.505,2.6,3.6,.714,129,25.4,,9.7,,,
1190,/players/e/ebankde01.html,Devin Ebanks,2011,2013,F,West Virginia,6-9,215,"October 28, 1989",1.5,3.3,.463,0.0,0.4,.000,0.5,0.3,1.2,1.5,3.7,.416,1.0,1.5,.657,24,16.5,1.1,4.0,0.5,0.8,2.3,3.9,7.6,.510,0.1,1.0,.114,2.6,0.7,5.2,4.0,8.6,.463,3.1,4.2,.736,69,32.1,2.8,11.2,0.9,2.1,7.9
1191,/players/e/ebbenbi01.html,Bill Ebben,1958,1958,G,Detroit Mercy,6-4,190,"October 7, 1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,/players/e/eberhal01.html,Al Eberhard,1975,1978,F,Missouri,6-6,225,"May 10, 1952",,,,,,,,,,3.5,8.4,.414,,,,81,25.5,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
1193,/players/e/ebind01.html,Ndudi Ebi,2004,2005,F,,6-9,200,"June 18, 1984",5.5,10.0,.550,0.0,0.5,.000,0.5,0.5,5.0,5.5,10.5,.524,2.5,4.5,.556,2,27.0,3.0,13.5,0.5,1.5,8.0,,,,,,,,,,,,,,,,,,,,,,
1194,/players/e/ebronro01.html,Roy Ebron,1974,1974,C,Louisiana,6-9,220,"August 31, 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,/players/e/eddieja01.html,Jarell Eddie,2016,2018,G-F,Virginia Tech,6-7,218,"October 30, 1991",0.4,0.6,.667,0.8,3.2,.250,0.0,0.0,1.2,1.2,3.8,.316,1.6,1.8,.889,5,12.4,0.2,4.8,0.2,0.2,1.4,1.6,3.8,.407,1.6,4.3,.365,1.1,0.5,3.8,3.1,8.1,.385,1.8,2.2,.812,123,25.8,0.8,9.6,0.3,1.5,4.6
1196,/players/e/eddiepa01.html,Patrick Eddie,1992,1992,C,"Arkansas State University, Ole Miss",6-11,240,"December 27, 1967",,,,,,,,,,,,,,,,,,,,,,,3.2,7.4,.434,0.0,0.0,1.000,0.5,1.3,,3.2,7.4,.435,1.5,2.6,.578,52,20.0,,8.0,0.8,,5.7
1197,/players/e/eddledi01.html,Dike Eddleman,1950,1953,F-G,Illinois,6-3,189,"December 27, 1922",,,,,,,,,,5.9,16.5,.355,,,,68,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,
1198,/players/e/edelike01.html,Kenton Edelin,1985,1985,F,Virginia,6-8,205,"May 24, 1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.1,.627,0.7,1.4,.471,97,17.6,,3.3,,,
1199,/players/e/edgech01.html,Charles Edge,1974,1975,F,LeMoyne-Owen College,6-6,210,"February 23, 1950",2.5,5.0,.509,0.0,0.0,.000,0.5,0.5,2.3,2.5,5.0,.505,0.8,1.5,.553,77,14.8,2.1,5.9,0.7,1.1,4.4,,,,,,,,,,,,,,,,,,,,,,
1200,/players/e/edmonbo01.html,Bobby Edmonds,1968,1970,F,Tennessee State,6-6,220,"March 8, 1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,/players/e/edmonke01.html,Keith Edmonson,1983,1984,G,Purdue,6-5,195,"September 28, 1960",2.9,5.8,.492,0.0,0.0,,0.6,0.1,0.8,2.9,5.8,.492,1.7,2.3,.746,55,11.3,0.8,7.5,0.5,1.1,1.6,,,,,,,,,,5.2,9.8,.529,2.7,3.6,.756,131,27.3,,13.1,,,
1202,/players/e/edneyty01.html,Tyus Edney,1996,2001,G,UCLA,5-10,152,"February 14, 1973",2.0,5.0,.407,0.1,0.6,.190,3.2,0.0,1.1,2.1,5.6,.384,2.5,3.1,.823,70,19.7,0.5,6.9,0.9,1.6,1.6,3.1,6.0,.513,0.8,2.0,.383,5.2,0.1,,3.9,8.1,.481,3.6,4.5,.805,125,29.3,,12.1,1.8,2.7,3.0
1203,/players/e/edwaran01.html,Anthony Edwards,2021,2021,G,Georgia,6-4,225,"August 5, 2001",,,,,,,,,,,,,,,,,,,,,,,4.1,8.1,.504,2.3,7.7,.294,2.8,0.6,4.5,6.3,15.8,.402,4.1,5.3,.772,32,33.0,0.8,19.1,1.3,2.7,5.2
